SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
33,DC:A6:32:33:AA:47,2020-07-07 18:25:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
34,DC:A6:32:33:AA:47,2020-07-07 18:25:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
35,DC:A6:32:33:AA:47,2020-07-07 18:25:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
36,DC:A6:32:33:AA:47,2020-07-07 18:25:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
37,DC:A6:32:33:AA:47,2020-07-07 18:25:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
38,DC:A6:32:33:AA:47,2020-07-07 18:25:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
39,DC:A6:32:33:AA:47,2020-07-07 18:25:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
40,DC:A6:32:33:AA:47,2020-07-07 18:25:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
41,DC:A6:32:33:AA:47,2020-07-07 18:25:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
42,DC:A6:32:33:AA:47,2020-07-07 18:25:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
43,DC:A6:32:33:AA:47,2020-07-07 18:25:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
44,DC:A6:32:33:AA:47,2020-07-07 18:25:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
45,DC:A6:32:33:AA:47,2020-07-07 18:25:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
46,DC:A6:32:33:AA:47,2020-07-07 18:25:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
47,DC:A6:32:33:AA:47,2020-07-07 18:25:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
48,DC:A6:32:33:AA:47,2020-07-07 18:25:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
49,DC:A6:32:33:AA:47,2020-07-07 18:25:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
50,DC:A6:32:33:AA:47,2020-07-07 18:25:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
51,DC:A6:32:33:AA:47,2020-07-07 18:25:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
52,DC:A6:32:33:AA:47,2020-07-07 18:25:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
53,DC:A6:32:33:AA:47,2020-07-07 18:25:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
54,DC:A6:32:33:AA:47,2020-07-07 18:25:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
55,DC:A6:32:33:AA:47,2020-07-07 18:25:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
56,DC:A6:32:33:AA:47,2020-07-07 18:25:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
57,DC:A6:32:33:AA:47,2020-07-07 18:25:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
58,DC:A6:32:33:AA:47,2020-07-07 18:25:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
59,DC:A6:32:33:AA:47,2020-07-07 18:25:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
60,DC:A6:32:33:AA:47,2020-07-07 18:25:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
61,DC:A6:32:33:AA:47,2020-07-07 18:25:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
62,DC:A6:32:33:AA:47,2020-07-07 18:25:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
63,DC:A6:32:33:AA:47,2020-07-07 18:25:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
64,DC:A6:32:33:AA:47,2020-07-07 18:25:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
65,DC:A6:32:33:AA:47,2020-07-07 18:25:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
66,DC:A6:32:33:AA:47,2020-07-07 18:25:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
67,DC:A6:32:33:AA:47,2020-07-07 18:25:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
68,DC:A6:32:33:AA:47,2020-07-07 18:25:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
69,DC:A6:32:33:AA:47,2020-07-07 18:26:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
70,DC:A6:32:33:AA:47,2020-07-07 18:26:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
71,DC:A6:32:33:AA:47,2020-07-07 18:26:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
72,DC:A6:32:33:AA:47,2020-07-07 18:26:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
73,DC:A6:32:33:AA:47,2020-07-07 18:26:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
74,DC:A6:32:33:AA:47,2020-07-07 18:26:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
75,DC:A6:32:33:AA:47,2020-07-07 18:26:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
76,DC:A6:32:33:AA:47,2020-07-07 18:26:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
77,DC:A6:32:33:AA:47,2020-07-07 18:26:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
