SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW),Total Sum
354,DC:A6:32:33:AA:47,2020-07-07 17:48:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
355,DC:A6:32:33:AA:47,2020-07-07 17:48:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
356,DC:A6:32:33:AA:47,2020-07-07 17:48:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
357,DC:A6:32:33:AA:47,2020-07-07 17:48:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
358,DC:A6:32:33:AA:47,2020-07-07 17:48:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
359,DC:A6:32:33:AA:47,2020-07-07 17:48:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
360,DC:A6:32:33:AA:47,2020-07-07 17:48:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
361,DC:A6:32:33:AA:47,2020-07-07 17:48:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
362,DC:A6:32:33:AA:47,2020-07-07 17:48:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
363,DC:A6:32:33:AA:47,2020-07-07 17:48:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
364,DC:A6:32:33:AA:47,2020-07-07 17:48:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
365,DC:A6:32:33:AA:47,2020-07-07 17:48:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
366,DC:A6:32:33:AA:47,2020-07-07 17:48:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
367,DC:A6:32:33:AA:47,2020-07-07 17:48:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
368,DC:A6:32:33:AA:47,2020-07-07 17:48:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
369,DC:A6:32:33:AA:47,2020-07-07 17:48:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
370,DC:A6:32:33:AA:47,2020-07-07 17:48:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
371,DC:A6:32:33:AA:47,2020-07-07 17:48:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
372,DC:A6:32:33:AA:47,2020-07-07 17:48:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
373,DC:A6:32:33:AA:47,2020-07-07 17:48:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
374,DC:A6:32:33:AA:47,2020-07-07 17:48:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
375,DC:A6:32:33:AA:47,2020-07-07 17:48:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
376,DC:A6:32:33:AA:47,2020-07-07 17:48:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
377,DC:A6:32:33:AA:47,2020-07-07 17:48:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
378,DC:A6:32:33:AA:47,2020-07-07 17:48:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
379,DC:A6:32:33:AA:47,2020-07-07 17:48:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
380,DC:A6:32:33:AA:47,2020-07-07 17:48:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
381,DC:A6:32:33:AA:47,2020-07-07 17:48:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
382,DC:A6:32:33:AA:47,2020-07-07 17:48:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
383,DC:A6:32:33:AA:47,2020-07-07 17:49:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
384,DC:A6:32:33:AA:47,2020-07-07 17:49:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
385,DC:A6:32:33:AA:47,2020-07-07 17:49:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
386,DC:A6:32:33:AA:47,2020-07-07 17:49:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
387,DC:A6:32:33:AA:47,2020-07-07 17:49:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
388,DC:A6:32:33:AA:47,2020-07-07 17:49:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
389,DC:A6:32:33:AA:47,2020-07-07 17:49:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
390,DC:A6:32:33:AA:47,2020-07-07 17:49:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
391,DC:A6:32:33:AA:47,2020-07-07 17:49:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
392,DC:A6:32:33:AA:47,2020-07-07 17:49:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
393,DC:A6:32:33:AA:47,2020-07-07 17:49:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
394,DC:A6:32:33:AA:47,2020-07-07 17:49:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
395,DC:A6:32:33:AA:47,2020-07-07 17:49:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
396,DC:A6:32:33:AA:47,2020-07-07 17:49:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
397,DC:A6:32:33:AA:47,2020-07-07 17:49:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
